"EqID","VelocityEquationGiven","BurstCoeffA","BurstCoeffB","BurstCoeffC","ProlongedCoeffA","ProlongedCoeffB","ProlongedCoeffC"
"1EQ",NA,NA,NA,NA,NA,NA,NA
"2EQ",NA,NA,NA,NA,NA,NA,NA
"3EQ",NA,NA,NA,NA,NA,NA,NA
"4EQ",NA,NA,NA,NA,NA,NA,NA
"5EQ",NA,NA,NA,NA,NA,NA,NA
"6EQ",NA,NA,NA,NA,NA,NA,NA
"7EQ",NA,NA,NA,NA,NA,NA,NA
"8EQ","V= 5.37 TL^0.66 t^-0.22  V(m/s); TL(m); t(s)",5.37,0.66,0.22,NA,NA,NA
"9EQ",NA,NA,NA,NA,NA,NA,NA
"10EQ",NA,NA,NA,NA,NA,NA,NA
"11EQ",NA,NA,NA,NA,NA,NA,NA
"12EQ","V=2.39 FL^0.529 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,2.39,0.529,0.1
"13EQ","V=11.03 FL^0.53  V(cm/s); FL(cm)",NA,NA,NA,11.03,0.53,NA
"14EQ","V=2.48 FL^0.552 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,2.48,0.552,0.1
"15EQ","V=10.03 FL^0.55  V(cm/s); FL(cm)",NA,NA,NA,10.03,0.55,NA
"16EQ",NA,NA,NA,NA,NA,NA,NA
"17EQ",NA,NA,NA,NA,NA,NA,NA
"18EQ",NA,NA,NA,NA,NA,NA,NA
"19EQ",NA,NA,NA,NA,NA,NA,NA
"20EQ","V=18.2 FL^0.35  V(cm/s); FL(cm)",NA,NA,NA,18.2,0.35,NA
"21EQ","V=1.73 FL^ 0.35 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,1.73,0.35,0.1
"22EQ",NA,NA,NA,NA,NA,NA,NA
"23EQ",NA,NA,NA,NA,NA,NA,NA
"24EQ",NA,NA,NA,NA,NA,NA,NA
"25EQ",NA,NA,NA,NA,NA,NA,NA
"26EQ",NA,NA,NA,NA,NA,NA,NA
"27EQ",NA,NA,NA,NA,NA,NA,NA
"28EQ",NA,NA,NA,NA,NA,NA,NA
"29EQ",NA,NA,NA,NA,NA,NA,NA
"30EQ",NA,NA,NA,NA,NA,NA,NA
"31EQ",NA,NA,NA,NA,NA,NA,NA
"32EQ",NA,NA,NA,NA,NA,NA,NA
"33EQ",NA,NA,NA,NA,NA,NA,NA
"34EQ",NA,NA,NA,NA,NA,NA,NA
"35EQ","V=9.7 FL^0.45  V(cm/s); FL(cm)",NA,NA,NA,9.7,0.45,NA
"36EQ","V=1.46 FL^0.45 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,1.46,0.45,0.1
"37EQ",NA,NA,NA,NA,NA,NA,NA
"38EQ",NA,NA,NA,NA,NA,NA,NA
"39EQ",NA,NA,NA,NA,NA,NA,NA
"40EQ",NA,NA,NA,NA,NA,NA,NA
"41EQ",NA,NA,NA,NA,NA,NA,NA
"42EQ","V=4.9 FL^0.55  V(cm/s); FL(cm)",NA,NA,NA,4.9,0.55,NA
"43EQ","V=1.17 FL^0.55 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,1.17,0.55,0.1
"44EQ",NA,NA,NA,NA,NA,NA,NA
"45EQ",NA,NA,NA,NA,NA,NA,NA
"46EQ",NA,NA,NA,NA,NA,NA,NA
"47EQ",NA,NA,NA,NA,NA,NA,NA
"48EQ",NA,NA,NA,NA,NA,NA,NA
"49EQ",NA,NA,NA,NA,NA,NA,NA
"50EQ",NA,NA,NA,NA,NA,NA,NA
"51EQ",NA,NA,NA,NA,NA,NA,NA
"52EQ",NA,NA,NA,NA,NA,NA,NA
"53EQ",NA,NA,NA,NA,NA,NA,NA
"54EQ",NA,NA,NA,NA,NA,NA,NA
"55EQ",NA,NA,NA,NA,NA,NA,NA
"56EQ",NA,NA,NA,NA,NA,NA,NA
"57EQ",NA,NA,NA,NA,NA,NA,NA
"58EQ",NA,NA,NA,NA,NA,NA,NA
"59EQ",NA,NA,NA,NA,NA,NA,NA
"60EQ",NA,NA,NA,NA,NA,NA,NA
"61EQ",NA,NA,NA,NA,NA,NA,NA
"62EQ",NA,NA,NA,NA,NA,NA,NA
"63EQ",NA,NA,NA,NA,NA,NA,NA
"64EQ",NA,NA,NA,NA,NA,NA,NA
"65EQ",NA,NA,NA,NA,NA,NA,NA
"66EQ",NA,NA,NA,NA,NA,NA,NA
"67EQ",NA,NA,NA,NA,NA,NA,NA
"68EQ",NA,NA,NA,NA,NA,NA,NA
"69EQ",NA,NA,NA,NA,NA,NA,NA
"70EQ",NA,NA,NA,NA,NA,NA,NA
"71EQ",NA,NA,NA,NA,NA,NA,NA
"72EQ",NA,NA,NA,NA,NA,NA,NA
"73EQ",NA,NA,NA,NA,NA,NA,NA
"74EQ",NA,NA,NA,NA,NA,NA,NA
"75EQ",NA,NA,NA,NA,NA,NA,NA
"76EQ","V=11.48 TL^0.97 t^-0.33  V(m/s); TL(m); t(s)",11.48,0.97,0.33,NA,NA,NA
"77EQ",NA,NA,NA,NA,NA,NA,NA
"78EQ",NA,NA,NA,NA,NA,NA,NA
"79EQ",NA,NA,NA,NA,NA,NA,NA
"80EQ","V=30.6 FL^0.07   V(cm/s); FL(cm)",NA,NA,NA,30.6,0.07,NA
"81EQ","V=2.23 FL^0.07 t^-0.26  V(m/s); FL(m); t(s)",NA,NA,NA,2.23,0.07,0.26
"82EQ","V=1.85 TL^ 0.7626  V(m/s); TL(m)",NA,NA,NA,1.85,0.7626,NA
"83EQ",NA,NA,NA,NA,NA,NA,NA
"84EQ",NA,NA,NA,NA,NA,NA,NA
"85EQ",NA,NA,NA,NA,NA,NA,NA
"86EQ",NA,NA,NA,NA,NA,NA,NA
"87EQ","Log(V)=0.9342 + 0.0303TL   V(cm/s); TL(cm)",NA,NA,NA,0.9342,0.0303,NA
"88EQ","Log(V)=1.2068 + 0.021TL   V(cm/s); TL(cm)",NA,NA,NA,1.2068,0.021,NA
"89EQ","Log(V)=1.4465 + 0.0137TL   V(cm/s); TL(cm)",NA,NA,NA,1.4465,0.0137,NA
"90EQ","Log(V)=1.5023 + 0.0117TL   V(cm/s); TL(cm)",NA,NA,NA,1.5023,0.0117,NA
"91EQ","Log(V)=1.5008 + 0.012TL   V(cm/s); TL(cm)",NA,NA,NA,1.5008,0.012,NA
"92EQ","Log(V)=1.3968 + 0.0139TL   V(cm/s); TL(cm)",NA,NA,NA,1.3968,0.0139,NA
"93EQ",NA,NA,NA,NA,NA,NA,NA
"94EQ",NA,NA,NA,NA,NA,NA,NA
"95EQ",NA,NA,NA,NA,NA,NA,NA
"96EQ",NA,NA,NA,NA,NA,NA,NA
"97EQ","V=22.11 TL^0.58 t^-0.30  V(m/s); TL(m); t(s)",NA,NA,NA,22.11,0.58,0.3
"98EQ",NA,NA,NA,NA,NA,NA,NA
"99EQ",NA,NA,NA,NA,NA,NA,NA
"100EQ",NA,NA,NA,NA,NA,NA,NA
"101EQ",NA,NA,NA,NA,NA,NA,NA
"102EQ","V=17.16 + 4.08 TL  V(cm/s); TL(cm)",NA,NA,NA,17.16,4.08,NA
"103EQ",NA,NA,NA,NA,NA,NA,NA
"104EQ",NA,NA,NA,NA,NA,NA,NA
"105EQ",NA,NA,NA,NA,NA,NA,NA
"106EQ",NA,NA,NA,NA,NA,NA,NA
"107EQ",NA,NA,NA,NA,NA,NA,NA
"108EQ",NA,NA,NA,NA,NA,NA,NA
"109EQ",NA,NA,NA,NA,NA,NA,NA
"110EQ",NA,NA,NA,NA,NA,NA,NA
"111EQ",NA,NA,NA,NA,NA,NA,NA
"112EQ",NA,NA,NA,NA,NA,NA,NA
"113EQ","V=4.08 TL^0.55 t^-0.08  V(m/s); TL(m); t(s)",NA,NA,NA,4.08,0.55,0.08
"114EQ",NA,NA,NA,NA,NA,NA,NA
"115EQ",NA,NA,NA,NA,NA,NA,NA
"116EQ",NA,NA,NA,NA,NA,NA,NA
"117EQ",NA,NA,NA,NA,NA,NA,NA
"118EQ",NA,NA,NA,NA,NA,NA,NA
"119EQ","V=93.59 FL^1.89  V(m/s); FL(m)",NA,NA,NA,93.59,1.89,NA
"120EQ",NA,NA,NA,NA,NA,NA,NA
"121EQ",NA,NA,NA,NA,NA,NA,NA
"122EQ",NA,NA,NA,NA,NA,NA,NA
"123EQ",NA,NA,NA,NA,NA,NA,NA
"124EQ","V=13.3 TL^0.52 t^-0.65  V(m/s); TL(m); t(s)",13.3,0.52,0.65,NA,NA,NA
"125EQ",NA,NA,NA,NA,NA,NA,NA
"126EQ",NA,NA,NA,NA,NA,NA,NA
"127EQ","V=3.02 FL^0.52 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,3.02,0.52,0.1
"128EQ","V=5.67 FL^0.70 t^-0.1  V(m/s); FL(m); t(s)",NA,NA,NA,5.67,0.7,0.1
"129EQ","V=5.87 TL^0.70 t^-0.1  V(m/s); TL(m); t(s)",NA,NA,NA,5.87,0.7,0.1
"130EQ",NA,NA,NA,NA,NA,NA,NA
"131EQ",NA,NA,NA,NA,NA,NA,NA
"132EQ",NA,NA,NA,NA,NA,NA,NA
"133EQ","V=7.16 TL^0.77 t^-0.46  V(m/s); TL(m); t(s)",7.16,0.77,0.46,NA,NA,NA
"134EQ",NA,NA,NA,NA,NA,NA,NA
"135EQ",NA,NA,NA,NA,NA,NA,NA
"136EQ",NA,NA,NA,NA,NA,NA,NA
"137EQ",NA,NA,NA,NA,NA,NA,NA
"138EQ",NA,NA,NA,NA,NA,NA,NA
"139EQ",NA,NA,NA,NA,NA,NA,NA
"140EQ","V=12.30 TL^0.62 t ^-0.51  V(m/s); TL(m); t(s)",12.3,0.62,0.51,NA,NA,NA
"141EQ","V=12.81 TL^1.07 t ^-0.48  V(m/s); TL(m); t(s)",12.81,1.07,0.48,NA,NA,NA
"142EQ",NA,NA,NA,NA,NA,NA,NA
"143EQ",NA,NA,NA,NA,NA,NA,NA
"144EQ",NA,NA,NA,NA,NA,NA,NA
"145EQ",NA,NA,NA,NA,NA,NA,NA
"146EQ",NA,NA,NA,NA,NA,NA,NA
"147EQ",NA,NA,NA,NA,NA,NA,NA
"148EQ","V=5.47 TL^0.89 t^-0.07  V(m/s); TL(m); t(s)",NA,NA,NA,5.47,0.89,0.07
"149EQ","V=1.95 TL^0.5  V(m/s); TL(m)",NA,NA,NA,1.95,0.5,NA
"150EQ",NA,NA,NA,NA,NA,NA,NA
"151EQ",NA,NA,NA,NA,NA,NA,NA
"152EQ",NA,NA,NA,NA,NA,NA,NA
"153EQ",NA,NA,NA,NA,NA,NA,NA
"154EQ",NA,NA,NA,NA,NA,NA,NA
"155EQ","V=1.459 TL^0.6294  V(m/s); TL(m)",NA,NA,NA,1.459,0.6294,NA
"156EQ","V=1.6 TL^0.6243   V(m/s); TL(m)",NA,NA,NA,1.6,0.6243,NA
