"SwimVarID","MinSpeed","MaxSpeed","SwimUnits","SwimVariabilityValueLow","SwimVariabilityValueHigh","SwimVariabilityType","SwimVariabilityUnits"
"1SVR",NA,75,"cm/s",NA,NA,NA,"cm/s"
"2SVR",244,142,"cm/s",NA,NA,NA,"cm/s"
"3SVR",55,76,"cm/s",NA,NA,NA,"cm/s"
"4SVR",92,213,"cm/s",NA,NA,NA,"cm/s"
"5SVR",40,52,"cm/s",NA,NA,NA,"cm/s"
"6SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"7SVR",27.91,53.56,"cm/s",8.95,8.95,"SD","cm/s"
"8SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"9SVR",92,183,"cm/s",NA,NA,NA,"cm/s"
"10SVR",15,91,"cm/s",NA,NA,NA,"cm/s"
"11SVR",121,242,"cm/s",NA,NA,NA,"cm/s"
"12SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"13SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"14SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"15SVR",48,73,"cm/s",NA,NA,NA,"cm/s"
"16SVR",NA,NA,"cm/s",5.4,5.4,"SE","cm/s"
"17SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"18SVR",NA,NA,"cm/s",8.1,8.1,"SD","cm/s"
"19SVR",91.4,122,"cm/s",NA,NA,NA,"cm/s"
"20SVR",34.1,72.1,"cm/s",NA,NA,NA,"cm/s"
"21SVR",34.1,72.1,"cm/s",NA,NA,NA,"cm/s"
"22SVR",NA,NA,"cm/s",6,6,"SD","cm/s"
"23SVR",NA,NA,"cm/s",9.5,9.5,"SD","cm/s"
"24SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"25SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"26SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"27SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"28SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"29SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"30SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"31SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"32SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"33SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"34SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"35SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"36SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"37SVR",NA,NA,"cm/s",NA,NA,"NR","cm/s"
"38SVR",122,427,"cm/s",NA,NA,NA,"cm/s"
"39SVR",NA,NA,"cm/s",NA,NA,"NR","cm/s"
"40SVR",NA,NA,"cm/s",NA,NA,"NR","cm/s"
"41SVR",46,122,"cm/s",NA,NA,NA,"cm/s"
"42SVR",19,47.4,"cm/s",NA,NA,NA,"cm/s"
"43SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"44SVR",16,40,"cm/s",8.11,8.11,"SD","cm/s"
"45SVR",13.48,45.81,"cm/s",10.82,10.82,"SD","cm/s"
"46SVR",13.72,40.2,"cm/s",11.3,11.3,"SD","cm/s"
"47SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"48SVR",NA,NA,"cm/s",38,43,"CI","cm/s"
"49SVR",NA,NA,"cm/s",47,57,"CI","cm/s"
"50SVR",NA,NA,"cm/s",50,62,"CI","cm/s"
"51SVR",NA,NA,"cm/s",58,70,"CI","cm/s"
"52SVR",NA,NA,"cm/s",60,83,"CI","cm/s"
"53SVR",NA,NA,"cm/s",43,50,"CI","cm/s"
"54SVR",NA,NA,"cm/s",47,59,"CI","cm/s"
"55SVR",NA,NA,"cm/s",52,63,"CI","cm/s"
"56SVR",NA,NA,"cm/s",47,53,"CI","cm/s"
"57SVR",NA,NA,"cm/s",58,67,"CI","cm/s"
"58SVR",NA,NA,"cm/s",58,65,"CI","cm/s"
"59SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"60SVR",NA,NA,"cm/s",1.7,1.7,"SE","cm/s"
"61SVR",NA,NA,"cm/s",3.84,3.84,"SD","cm/s"
"62SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"63SVR",61,109.7,"cm/s",NA,NA,NA,"cm/s"
"64SVR",NA,NA,"cm/s",7.5,7.5,"SD","cm/s"
"65SVR",NA,45.7,"cm/s",NA,NA,NA,"cm/s"
"66SVR",NA,30.5,"cm/s",NA,NA,NA,"cm/s"
"67SVR",15.2,61,"cm/s",NA,NA,NA,"cm/s"
"68SVR",NA,NA,"cm/s",7,7,"SE","cm/s"
"69SVR",NA,NA,"cm/s",3,3,"SE","cm/s"
"70SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"71SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"72SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"73SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"74SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"75SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"76SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"77SVR",46,90,"cm/s",NA,NA,NA,"cm/s"
"78SVR",110,240,"cm/s",NA,NA,NA,"cm/s"
"79SVR",38,122,"cm/s",NA,NA,NA,"cm/s"
"80SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"81SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"82SVR",50,118,"cm/s",NA,NA,NA,"cm/s"
"83SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"84SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"85SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"86SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"87SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"88SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"89SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"90SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"91SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"92SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"93SVR",11,18,"cm/s",NA,NA,NA,"cm/s"
"94SVR",16,30,"cm/s",NA,NA,NA,"cm/s"
"95SVR",34,61,"cm/s",NA,NA,NA,"cm/s"
"96SVR",64,152,"cm/s",NA,NA,NA,"cm/s"
"97SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"98SVR",3,11,"cm/s",NA,NA,NA,"cm/s"
"99SVR",3,16,"cm/s",NA,NA,NA,"cm/s"
"100SVR",8,30,"cm/s",NA,NA,NA,"cm/s"
"101SVR",NA,NA,"cm/s",3.2,3.2,"SE","cm/s"
"102SVR",30.9,71.3,"cm/s",10.82,10.82,"SD","cm/s"
"103SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"104SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"105SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"106SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"107SVR",183,411.5,"cm/s",NA,NA,NA,"cm/s"
"108SVR",61,182,"cm/s",NA,NA,NA,"cm/s"
"109SVR",NA,NA,"cm/s",2.04,2.04,"SE","cm/s"
"110SVR",NA,NA,"cm/s",1.34,1.34,"SE","cm/s"
"111SVR",NA,NA,"cm/s",1.3,1.3,"SE","cm/s"
"112SVR",234.7,457.2,"cm/s",NA,NA,NA,"cm/s"
"113SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"114SVR",89,173.2,"cm/s",12.5,12.5,"SE","cm/s"
"115SVR",NA,NA,"cm/s",1.54,1.54,"SD","cm/s"
"116SVR",NA,NA,"cm/s",1.18,1.18,"SD","cm/s"
"117SVR",NA,NA,"cm/s",0.1,0.1,"SD","cm/s"
"118SVR",182,305,"cm/s",NA,NA,NA,"cm/s"
"119SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"120SVR",52,158,"cm/s",NA,NA,NA,"cm/s"
"121SVR",NA,NA,"cm/s",0.56,0.56,"SD","cm/s"
"122SVR",NA,NA,"cm/s",1.14,1.14,"SD","cm/s"
"123SVR",NA,NA,"cm/s",0.98,0.98,"SD","cm/s"
"124SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"125SVR",286.5,533.4,"cm/s",64.9,64.9,"SE","cm/s"
"126SVR",335,640,"cm/s",NA,NA,NA,"cm/s"
"127SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"128SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"129SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"130SVR",NA,NA,"cm/s",1.9,1.9,"SE","cm/s"
"131SVR",NA,NA,"cm/s",0.72,0.72,"SD","cm/s"
"132SVR",NA,NA,"cm/s",0.86,0.86,"SD","cm/s"
"133SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"134SVR",47.1,83.2,"cm/s",6.29,6.29,"SE","cm/s"
"135SVR",NA,NA,"cm/s",1.78,1.78,"SE","cm/s"
"136SVR",NA,NA,"cm/s",2.96,2.96,"SE","cm/s"
"137SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"138SVR",NA,NA,"cm/s",2.18,2.18,"SE","cm/s"
"139SVR",NA,NA,"cm/s",2.75,2.75,"SE","cm/s"
"140SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"141SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"142SVR",427,822,"cm/s",NA,NA,NA,"cm/s"
"143SVR",150,440,"cm/s",NA,NA,NA,"cm/s"
"144SVR",47.1,83.2,"cm/s",6.3,6.3,"SE","cm/s"
"145SVR",83.3,97.9,"cm/s",2.5,2.5,"SE","cm/s"
"146SVR",NA,NA,"cm/s",0.17,0.17,"SE","cm/s"
"147SVR",305,670,"cm/s",NA,NA,NA,"cm/s"
"148SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"149SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"150SVR",NA,NA,"cm/s",2.4,2.4,"SE","cm/s"
"151SVR",NA,NA,"cm/s",3.9,3.9,"SE","cm/s"
"152SVR",NA,NA,"cm/s",3.9,3.9,"SE","cm/s"
"153SVR",NA,NA,"cm/s",2.5,2.5,"SE","cm/s"
"154SVR",NA,NA,"cm/s",0.52,0.52,"SE","cm/s"
"155SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
"156SVR",NA,NA,"cm/s",NA,NA,NA,"cm/s"
